,PERIOD,PRIMARY_LABEL,SECONDARY_LABEL,ACCOUNT,CATEGORY,SUBCATEGORY,BASE_TOKEN_ADDRESS,VALUE_BASE_TOKEN,VALUE_USD,VALUE_ETH,TOKEN_PRICE,TOKEN_ETH_PRICE,QTY,QTY_USD,QTY_ETH,LAG_QTY,LAG_PRICE_USD,LAG_PRICE_ETH,HASH_KEY,INSERT_TS,TOKEN_SYMBOL
0,2023-04-26T00:00:00Z,3. Surplus,3.2. Operating Performance,3.2.2. Cost of Revenue,3.2.2.3. Other costs of revenue (-),1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,0.0,1867.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,196d825c8ae54d74547fe7930a39644e2b11f881fd557afa417666b5e02182c6,,ETH
1,2023-04-26T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,2. M2M,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,0.0,1867.09,1.0,12297.9355778386,22961352.53802664,12297.9355778386,0.0,0.0,0.0,b0636c58bb1542c777cd6dff26af661b0722accf264bbd631a5465ca1fba15c2,,ETH
2,2023-04-26T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,841.9355778386,1571969.4980266404,841.9355778385833,1867.09,1.0,12297.9355778386,22961352.53802664,12297.9355778386,0.0,0.0,0.0,ac3e861bcdf8de7ca98aa71b12d10129347855a6612f24511a5325d6ad042ee0,,ETH
3,2023-04-26T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11456.0,21389383.039999995,11456.0,1867.09,1.0,12297.9355778386,22961352.53802664,12297.9355778386,12297.935577838583,1867.09,1.0,9900732d470885f7aaec67e812f332a5f9c3d5926a31e2388a55f78a87bda790,,ETH
4,2023-04-26T00:00:00Z,3. Surplus,3.2. Operating Performance,3.2.2. Cost of Revenue,3.2.2.2. Provision for slashing (-),1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,0.0,1867.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201ad608d250505e48dc8b6a84f45c63355b83ea4632c47ea3ec533f1c938820,,ETH
5,2023-04-26T00:00:00Z,3. Surplus,3.2. Operating Performance,3.2.1. Net Revenue,3.2.1.1. Gross staking rewards (+),1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,841.9355778386,1571969.4980266404,841.9355778385833,1867.09,1.0,841.9355778386,1571969.4980266404,841.9355778386,0.0,0.0,0.0,ef579eda50e49caf132d22ab4783deae9529b1329ffd07f0e1a593b9e40904e9,,ETH
6,2023-04-26T00:00:00Z,3. Surplus,3.2. Operating Performance,3.2.2. Cost of Revenue,3.2.2.1. Staking rewards to node operators (-),1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-42.0967788919,-78598.47490133203,-42.09677889192917,1867.09,1.0,-42.0967788919,-78598.474901332,-42.0967788919,0.0,0.0,0.0,9e6375d367001861e30651cd035bf8acb06242340d6287d8da8ec417279f32ad,,ETH
7,2023-04-16T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,2. M2M,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,1251907.1567334149,0.0,2119.96,1.0,75431.7055267817,159912198.44855615,75431.7055267817,47709.876399901055,2093.72,1.0,503a819c9d429ec12260e62625b3dbb0a395e55a7da5974a025a1f80ed4d942a,,ETH
8,2023-04-21T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,2. M2M,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,0.0,1850.74,1.0,162182.9280136828,300158432.1920433,162182.9280136828,162182.9280136828,1850.74,1.0,769c03b596e55bd1170886e35c2cf83538b6ba4672cc5a396e3551b25e5e73de,,ETH
9,2023-04-25T00:00:00Z,3. Surplus,3.2. Operating Performance,3.2.2. Cost of Revenue,3.2.2.1. Staking rewards to node operators (-),1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-45.2155793735,-84507.91784905436,-45.21557937349083,1869.0,1.0,-696.7168748969,-1302163.8391823438,-696.7168748969,-651.5012955234293,1842.27,1.0,ae54797335041b1bfc84405308a7a4c28a28e3ab0759fbd26b4de451de1b287b,,ETH
10,2023-04-19T00:00:00Z,3. Surplus,3.2. Operating Performance,3.2.2. Cost of Revenue,3.2.2.2. Provision for slashing (-),1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.0,0.0,1940.13,1.0,0.0,0.0,0.0,0.0,2104.68,1.0,aa78fc6398948df8d4a3c1226d31cc3579fe136852f49f5918c012a4a62513b0,,ETH
11,2023-04-19T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1113.025971344,2159415.07778366,1113.025971344013,1940.13,1.0,135726.2233090266,263326517.62854186,135726.2233090266,112853.19733768262,2104.68,1.0,b3499b8ae5c93fa1743c6ce7bd6077c04aa507ef47b7c4eb8d9979888d935cfb,,ETH
12,2023-04-21T00:00:00Z,3. Surplus,3.2. Operating Performance,3.2.2. Cost of Revenue,3.2.2.1. Staking rewards to node operators (-),1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-49.3728982169,-91376.39764586349,-49.37289821685568,1850.74,1.0,-520.3464006841,-963025.897602164,-520.3464006841,-470.97350246728365,1947.71,1.0,d73eed6f0ceaf1dba9deb529a81b12344421ab7446749540652c5da45f517614,,ETH
13,2023-04-10T00:00:00Z,3. Surplus,3.2. Operating Performance,3.2.1. Net Revenue,3.2.1.1. Gross staking rewards (+),1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,709.7561445763,1354676.0653456463,709.7561445763478,1908.65,1.0,709.7561445763,1354676.065345646,709.7561445763,0.0,0.0,0.0,ba84743a14dac334d351702c74d9585ef5acbceb63f2c09911e2063b3737f725,,ETH
