,period,primary_label,secondary_label,account,category,subcategory,base_token_address,value_base_token,value_usd,value_eth,token_price,token_eth_price,qty,qty_usd,qty_eth,lag_qty,lag_price_usd,lag_price_eth
0,2023-04-22T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,863.2537518699572,1.6218120887131263e+06,863.2537518699572,1878.72,1.0,20799.25375186996,39075974.008713126,20799.25375186996,<nil>,<nil>,<nil>
1,2023-04-22T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,19936.0,3.745416192e+07,19936,1878.72,1.0,20799.25375186996,39075974.008713126,20799.25375186996,20799.253751869957,1878.72,1
2,2023-04-23T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,887.5642611973489,1.6542866482326786e+06,887.5642611973489,1863.85,1.0,30966.818013067303,57717503.75365549,30966.818013067303,20799.253751869957,1878.72,1
3,2023-04-23T00:00:00Z,1. Assets,1.1. Staked Assets,1.1.1. Staked ETH,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9280.0,1.7296528e+07,9280,1863.85,1.0,30966.818013067303,57717503.75365549,30966.818013067303,30966.818013067306,1863.85,1
4,2023-04-22T00:00:00Z,1. Assets,1.2. Slashing Provision,1.2.1. Slashing Provision,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0,0,1878.72,1.0,0.0,0.0,0.0,<nil>,<nil>,<nil>
5,2023-04-23T00:00:00Z,1. Assets,1.2. Slashing Provision,1.2.1. Slashing Provision,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0,0,1863.85,1.0,0.0,0.0,0.0,0,1878.72,1
6,2023-04-22T00:00:00Z,1. Assets,1.2. Slashing Provision,1.2.2. Slashing Provision Contra Assets,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0,0,1878.72,1.0,0.0,0.0,0.0,<nil>,<nil>,<nil>
7,2023-04-23T00:00:00Z,1. Assets,1.2. Slashing Provision,1.2.2. Slashing Provision Contra Assets,-,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0,0,1863.85,1.0,0.0,0.0,0.0,0,1878.72,1
8,2023-04-22T00:00:00Z,1. Assets,1.3. Protocol Assets,1.3.1. Protocol Assets,1.3.1.1. stETH,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,43.16268759349776,81090.60443565628,43.16268759349776,1878.72,1.0,43.16268759349776,81090.6044356561,43.16268759349776,<nil>,<nil>,<nil>
9,2023-04-23T00:00:00Z,1. Assets,1.3. Protocol Assets,1.3.1. Protocol Assets,1.3.1.1. stETH,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,44.37821305986744,82714.33241163401,44.37821305986744,1863.85,1.0,87.5409006533652,163163.10768277472,87.5409006533652,43.16268759349776,1878.72,1
10,2023-04-22T00:00:00Z,1. Assets,1.3. Protocol Assets,1.3.1. Protocol Assets,1.3.1.2. DAI,1. Historical,<nil>,0.0,0,0,0.0,0.0,0.0,0.0,0.0,<nil>,<nil>,<nil>
11,2023-04-23T00:00:00Z,1. Assets,1.3. Protocol Assets,1.3.1. Protocol Assets,1.3.1.2. DAI,1. Historical,<nil>,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
12,2023-04-22T00:00:00Z,1. Assets,1.3. Protocol Assets,1.3.1. Protocol Assets,1.3.1.2. DAI,1. Historical,0x6b175474e89094c44da98b954eedeac495271d0f,0.0,0,0,1.000521,0.0005325546116504,0.0,0.0,0.0,<nil>,<nil>,<nil>
13,2023-04-23T00:00:00Z,1. Assets,1.3. Protocol Assets,1.3.1. Protocol Assets,1.3.1.2. DAI,1. Historical,0x6b175474e89094c44da98b954eedeac495271d0f,0.0,0,0,1.000306,0.0005366880382004,0.0,0.0,0.0,0,1.000521,0.0005325546116504854
14,2023-04-22T00:00:00Z,1. Assets,1.3. Protocol Assets,1.3.1. Protocol Assets,1.3.1.3. ETH,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0,0,1878.72,1.0,0.0,0.0,0.0,<nil>,<nil>,<nil>
15,2023-04-23T00:00:00Z,1. Assets,1.3. Protocol Assets,1.3.1. Protocol Assets,1.3.1.3. ETH,1. Historical,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0,0,1863.85,1.0,0.0,0.0,0.0,0,1878.72,1
